"","LY_2dpa_rep1","LY_2dpa_rep2","LY_2dpa_rep3","median_LY_2dpa"
"PladumEVm000474",22.898,21.453,17.363,21.453
"PladumEVm000478",12.162,13.467,10.098,12.162
"PladumEVm000479",20.978,19.03,14.228,19.03
"PladumEVm000486",7.578,8.656,8.77,8.656
"PladumEVm000491",5.252,9.416,6.201,6.201
"PladumEVm000492",183.452,190.902,177.47,183.452
"PladumEVm000495",68.499,83.806,84.472,83.806
"PladumEVm000502",6.826,6.793,5.587,6.793
"PladumEVm000505",5.011,6.865,5.633,5.633
"PladumEVm000506",23.677,24.617,19.233,23.677
"PladumEVm000508",57.386,68.56,56.682,57.386
"PladumEVm000512",17.651,25.511,22.346,22.346
"PladumEVm000515",32.008,34.254,19.985,32.008
"PladumEVm000516",6.634,5.795,4.736,5.795
"PladumEVm000521",6.497,6.081,3.456,6.081
"PladumEVm000526",11.823,9.699,5.025,9.699
"PladumEVm000529",73.803,80.127,77.834,77.834
"PladumEVm000530",19.363,20.37,18.695,19.363
"PladumEVm000542",12.008,11.912,11.527,11.912
"PladumEVm000548",48.032,52.47,40.012,48.032
"PladumEVm000555",13.261,13.845,14.418,13.845
"PladumEVm000558",22.297,21.661,15.009,21.661
"PladumEVm000561",8.072,10.762,10.696,10.696
"PladumEVm000563",5.192,5.647,5.296,5.296
"PladumEVm000564",13.574,13.913,12.057,13.574
"PladumEVm000565",5.889,5.912,2.995,5.889
"PladumEVm000566",6.155,6.504,3.93,6.155
"PladumEVm000567",5.825,5.144,4.126,5.144
"PladumEVm000571",10.545,9.831,7.471,9.831
"PladumEVm000573",9.382,9.275,4.853,9.275
"PladumEVm000576",44.329,44.04,33.052,44.04
"PladumEVm000579",17.616,17.726,11.86,17.616
"PladumEVm000580",9.867,8.838,8.516,8.838
"PladumEVm000584",16.611,16.278,11.697,16.278
"PladumEVm000587",8.073,8.413,5.997,8.073
"PladumEVm000589",18.33,23.668,21.19,21.19
"PladumEVm000592",28.257,35.38,29.172,29.172
"PladumEVm000599",22.337,24.384,28.136,24.384
"PladumEVm000601",9.587,12.697,14.168,12.697
"PladumEVm000610",16.23,16.231,21.037,16.231
"PladumEVm000612",5.925,5.271,3.375,5.271
"PladumEVm000616",24.991,23.836,19.836,23.836
"PladumEVm000619",19.501,24.19,22.652,22.652
"PladumEVm000620",28.613,36.246,27.408,28.613
"PladumEVm000621",53.043,51.201,46.702,51.201
"PladumEVm000626",21.805,21.1,15.593,21.1
"PladumEVm000627",41.527,41.874,31.236,41.527
"PladumEVm000628",8.843,11.696,8.896,8.896
"PladumEVm000629",20.493,23.693,20.296,20.493
"PladumEVm000631",13.915,13.993,8.395,13.915
"PladumEVm000634",80.593,42.158,29.769,42.158
"PladumEVm000636",8.802,8.827,10.265,8.827
