""	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"PladumEVm124868"	-0.164184690164158	1.67191281792462	0.174438254604104	0.6761971407606	0.843050667322102
"PladumEVm055519"	-0.190491056002505	-0.273239823361428	0.174317367058037	0.676302988201853	0.843122145712222
"PladumEVm094136"	0.288309361438195	-0.135603940025771	0.174309012267424	0.676310305131559	0.843122145712222
"PladumEVm011318"	0.0934970723694839	1.68919693213213	0.174290102992234	0.676326866191833	0.843122145712222
"PladumEVm073882"	0.162719170366889	0.311821977296346	0.17423143158206	0.676378258312435	0.843141499152106
"PladumEVm033781"	-0.0990757795698621	1.74411450079163	0.174217281237648	0.67639065456179	0.843141499152106
"PladumEVm085963"	-0.0798178479150999	4.26343301498264	0.174115013640795	0.676480262513625	0.843209501086385
"PladumEVm032015"	-0.100914002397893	2.20373861416441	0.174078250834729	0.676512482023626	0.843209501086385
"PladumEVm009349"	0.0872360146751337	2.69062572898872	0.174046651053962	0.676540179768313	0.843209501086385
"PladumEVm060724"	0.188749522269398	2.09090963703493	0.174035024154479	0.676550371686145	0.843209501086385
"PladumEVm012003"	-0.0914784655013007	2.29257814198022	0.174017337380803	0.676565876340357	0.843209501086385
"PladumEVm018515"	-0.183600750103234	3.2758175952454	0.173891266650593	0.67667641980157	0.843289051006454
"PladumEVm033226"	-0.100411081634781	2.38394465254041	0.173889491249544	0.676677976874465	0.843289051006454
"PladumEVm032678"	-0.0870274805431308	3.6129247185362	0.173858109415099	0.676705501099757	0.843290308660432
"PladumEVm128370"	0.199885837247347	2.02727196867094	0.173825461932678	0.676734138488291	0.843290308660432
"PladumEVm055509"	0.224393896313787	0.00498781540391994	0.173784407542223	0.676770154644526	0.843290308660432
"PladumEVm000508"	-0.0700886765213223	5.93832589118859	0.173735230755855	0.676813302982178	0.843290308660432
"PladumEVm072524"	-0.0809837462808751	11.3972593361046	0.173707076116443	0.676838009447374	0.843290308660432
"PladumEVm007777"	-0.143065089896127	0.658837119260547	0.173704228957737	0.676840508037753	0.843290308660432
"PladumEVm069728"	0.15691305710062	0.456587865369713	0.173695761981357	0.676847938571926	0.843290308660432
"PladumEVm054746"	-0.202732673021156	4.00658938041062	0.173597337376691	0.676934330626287	0.843367871122231
"PladumEVm069715"	0.0761642634666094	7.21507499965602	0.173559921618917	0.676967179793499	0.843378723294885
"PladumEVm143342"	0.266498897186946	-0.018355491294424	0.173508695953794	0.677012160109453	0.843404687373037
"PladumEVm045062"	-0.167240132491507	5.74586127102302	0.173405025390849	0.677103215174379	0.843488046314317
"PladumEVm000814"	0.0996437357614161	3.2683329739026	0.173237427591162	0.677250485853612	0.843541954333546
"PladumEVm109214"	-0.0902485779667441	3.79892974614084	0.173234278647734	0.677253253676824	0.843541954333546
"PladumEVm044307"	0.222403788382923	0.107857138067783	0.173233348255838	0.677254071467975	0.843541954333546
"PladumEVm066775"	0.109491496491661	2.09280364132052	0.173228755813867	0.677258108147081	0.843541954333546
"PladumEVm057859"	-0.102613224047218	6.16782593430345	0.173218405889671	0.677267205786217	0.843541954333546
"PladumEVm019563"	-0.232127350380194	2.18312163037336	0.173032810149836	0.677430399596532	0.843715136759107
"PladumEVm075450"	-0.317196595247222	0.165128560394243	0.172893413619451	0.677553038097166	0.843837798462854
"PladumEVm094468"	0.223812236994756	0.231273847782216	0.172683989288405	0.677737394813852	0.844037313755166
"PladumEVm039408"	-0.157304804350079	-0.00798112325551615	0.17237579694596	0.678008935800306	0.844345388078375
"PladumEVm010499"	-0.0781514223379956	4.37780126006139	0.172287340788283	0.678086924987655	0.84441241302148
"PladumEVm006180"	-0.0807111648156936	2.18262430675096	0.172242430491978	0.678126530055588	0.844420119296989
"PladumEVm178578"	-0.275576399149387	0.336680973400493	0.172225513563424	0.678141450166124	0.844420119296989
"PladumEVm035378"	-0.299071890935947	-0.0202587077724033	0.172133088137098	0.678222981172412	0.844439420885559
"PladumEVm020826"	-0.442373144784707	0.728248351772961	0.172092602223804	0.678258702988969	0.844439420885559
"PladumEVm119140"	-0.217815069810841	0.399323883755863	0.172057932050271	0.678289297335829	0.844439420885559
"PladumEVm087576"	0.236727132758145	0.14274995662225	0.17205625184205	0.678290780110502	0.844439420885559
"PladumEVm113268"	0.153707556838542	3.32417453084412	0.172054427064981	0.678292390476014	0.844439420885559
"PladumEVm004558"	-0.102919013900904	1.93389308251725	0.172043578237349	0.678301964771551	0.844439420885559
"PladumEVm145603"	0.17198866509051	1.3048003463405	0.171937981294186	0.678395174557767	0.844512961777995
"PladumEVm005021"	0.0900535433308611	1.94681641257178	0.171898703866551	0.678429853065607	0.844512961777995
"PladumEVm008296"	0.0743947657177054	3.76050632820511	0.171890125122358	0.678437427958622	0.844512961777995
"PladumEVm110424"	0.147008106090796	5.48616858758613	0.171829769382995	0.678490727367403	0.844512961777995
"PladumEVm087176"	-0.102795887802687	2.34058004592614	0.17179488200958	0.67852154097938	0.844512961777995
"PladumEVm008126"	0.129156434543043	1.11991015063145	0.171789588486079	0.678526216704119	0.844512961777995
"PladumEVm067026"	-0.0691871453901693	4.93211456719336	0.171785039904551	0.678530234495317	0.844512961777995
"PladumEVm040385"	0.141919422390637	2.85545142342909	0.171650488845188	0.678649112510405	0.844561441308228
"PladumEVm178390"	-0.123002553386649	3.15242466177115	0.171625907737984	0.678670836209186	0.844561441308228
"PladumEVm076599"	-0.466335020530254	0.36583714586308	0.171561409934462	0.678727845191196	0.844561441308228
"PladumEVm123566"	0.246311434225835	1.08814577389844	0.171542081130292	0.678744932178358	0.844561441308228
"PladumEVm121090"	0.243371318312144	0.0943137287701456	0.171535399675486	0.678750838958803	0.844561441308228
"PladumEVm000966"	-0.0761332214916002	3.23463781040598	0.171523272277407	0.678761560602586	0.844561441308228
"PladumEVm100671"	-0.208435818307414	-0.174879065138166	0.171519397908853	0.678764985965079	0.844561441308228
"PladumEVm008178"	-0.14398568095293	0.0631703664823869	0.171498622161275	0.678783354755017	0.844561441308228
"PladumEVm080381"	-0.244189722233723	-0.322886570158084	0.171486574412341	0.678794007318714	0.844561441308228
"PladumEVm029599"	-0.127382534890594	1.43501552000954	0.17144784913015	0.678828251002882	0.844561441308228
"PladumEVm116481"	-0.140504005984036	1.32098847744629	0.171440123898048	0.678835082751623	0.844561441308228
"PladumEVm023952"	0.208111088908986	0.97609932709889	0.171391746770577	0.678877868787458	0.844581407264018
"PladumEVm139264"	-0.376528262061494	-0.371160131957328	0.171367318056477	0.678899476888575	0.844581407264018
"PladumEVm106640"	0.351285070470928	0.492328753274971	0.171221688904868	0.679028328707536	0.844698761687746
"PladumEVm000406"	-0.0993660762203007	3.67621054342678	0.171206058046661	0.67904216261266	0.844698761687746
"PladumEVm044267"	0.24990319405138	1.72172017120528	0.171064453727407	0.679167521544768	0.844824623869719
"PladumEVm078178"	-0.119054673187631	2.06363174758598	0.171012092033742	0.679213891493162	0.84485222524403
"PladumEVm043607"	-0.198798585474123	-0.270349237739881	0.170971150504213	0.679250153877468	0.844865026632672
"PladumEVm026547"	-0.191186775618861	0.0918408451311012	0.170945872559305	0.67927254538305	0.844865026632672
"PladumEVm083057"	0.671780606455966	2.37260750987952	0.17091217402036	0.679302398966367	0.844872081641958
"PladumEVm007519"	-0.0781649920519456	4.09497218781068	0.1708546913641	0.679353330886623	0.844905351078479
"PladumEVm009482"	-0.0946435355385583	2.9481679430187	0.170701215087754	0.67948936613955	0.845028090066476
"PladumEVm025453"	-0.0991840790444028	1.31399112495455	0.170685361334899	0.679503422353234	0.845028090066476
"PladumEVm026197"	-0.209143843844248	-0.380246067314578	0.170648661004292	0.679535964438674	0.845028090066476
"PladumEVm051356"	0.159710965160521	0.785981821438598	0.170634227780627	0.67954876346197	0.845028090066476
"PladumEVm097820"	0.159859481539231	0.0435156547405198	0.170514114743839	0.679655301298922	0.845130492279986
"PladumEVm100567"	0.122787473104422	2.90319273613431	0.170417713623529	0.679740838921002	0.845206775011954
"PladumEVm017777"	-0.110541824076121	0.676029066053953	0.170355836817973	0.679795757715136	0.845244981452283
"PladumEVm048469"	-0.229900915640966	-0.356863559995595	0.170311482660567	0.679835131455863	0.845263857440532
"PladumEVm096665"	-0.211717531130323	0.207757561120689	0.170240598742757	0.679898068455867	0.845291153561377
