""	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"PladumEVm006099"	-0.103736723755209	1.51848624429965	0.143117799495456	0.705200962170639	0.886133714307854
"PladumEVm014610"	-0.0654077526273563	3.74525023377872	0.143103138904023	0.705215355120433	0.886133714307854
"PladumEVm103667"	0.0904126047116145	2.4607241143051	0.143093962756025	0.705224364178831	0.886133714307854
"PladumEVm009709"	0.200039307519618	0.687946158060247	0.142962871552398	0.705353104395878	0.886263606807191
"PladumEVm155085"	-0.169451205802187	1.03514683773322	0.142859706688419	0.70545446654802	0.886359091150793
"PladumEVm020432"	0.0628000179710701	10.4659341172458	0.142773576551576	0.705539123681817	0.886417412348573
"PladumEVm103408"	-0.145729671529613	1.46198156997211	0.142739134718115	0.705572984656428	0.886417412348573
"PladumEVm041456"	-0.207193760256421	2.48851468132132	0.142735055122627	0.70557699575907	0.886417412348573
"PladumEVm002209"	-0.126603539314331	1.9123958523662	0.142699304250325	0.705612149207999	0.886429702329149
"PladumEVm018209"	-0.0985308447893311	0.997276800862903	0.142610050945552	0.705699932992366	0.886508106238819
"PladumEVm033098"	-0.118541788586654	0.702684846964773	0.142579212476614	0.705730271013944	0.886514343099022
"PladumEVm087640"	0.204553833918089	0.138158642998224	0.142539593481264	0.705769252573536	0.88653143683864
"PladumEVm001440"	-0.231325892428216	0.608388987210444	0.142470057269552	0.705837684975118	0.886555478378816
"PladumEVm035307"	0.0644306334518	6.71990798804364	0.14246857812482	0.705839140847292	0.886555478378816
"PladumEVm071412"	0.527359048429924	1.04529403637157	0.142257618865182	0.706046869412471	0.886713753050583
"PladumEVm011464"	0.202384760496259	0.00766230829722807	0.14225214681089	0.70605226000639	0.886713753050583
"PladumEVm001533"	0.085762807061306	3.06676143305458	0.142246355569535	0.706057965164751	0.886713753050583
"PladumEVm118089"	0.376059395771542	-0.485648474081941	0.142220340672178	0.706083595004293	0.886713753050583
"PladumEVm180021"	0.127079074408293	1.93485836766725	0.14221176208081	0.706092047207227	0.886713753050583
"PladumEVm060510"	0.266206919130317	0.457510355599226	0.14218134953389	0.706122014032115	0.886719514368259
"PladumEVm111115"	-0.10010589715498	5.364088873529	0.142142896216134	0.706159909024214	0.886735230786264
"PladumEVm145787"	-0.17925911244439	1.72625112854263	0.14210393412274	0.706198311376301	0.886751583151
"PladumEVm013965"	-0.07827900620934	6.8323831861338	0.142043398527813	0.70625798922854	0.886755160318104
"PladumEVm083813"	0.121432683149149	1.51007046652008	0.142020834843708	0.706280236918066	0.886755160318104
"PladumEVm111917"	-0.138326485672165	0.723348608651185	0.142017505820531	0.706283519490574	0.886755160318104
"PladumEVm007681"	-0.0927264071120591	2.94979925917101	0.141997820342866	0.706302931190131	0.886755160318104
"PladumEVm003326"	-0.0781564499653759	2.6509372505407	0.141972338759617	0.706328060667244	0.886755160318104
"PladumEVm020002"	-0.0673696010554417	3.56792481286859	0.141907344554598	0.706392168441914	0.886785753997035
"PladumEVm097811"	0.0997362612636166	3.45806967673053	0.141893964232366	0.706405368355974	0.886785753997035
"PladumEVm111872"	0.30686692325682	0.376048686432283	0.141870444798556	0.706428572397592	0.886785753997035
"PladumEVm078543"	-0.139720803892249	1.10468934603797	0.141827398787683	0.70647104685667	0.886807210825795
"PladumEVm024587"	-0.119778898901305	0.617463876515298	0.141750974285363	0.706546474754359	0.886825298633251
"PladumEVm015289"	-0.154615625774878	0.211910282984693	0.141740370049182	0.706556942541246	0.886825298633251
"PladumEVm023742"	-0.161511766084323	1.37896906860594	0.141700997660888	0.706595812220001	0.886825298633251
"PladumEVm042537"	-0.19636413222775	1.62302807458917	0.141692900934279	0.706603806331283	0.886825298633251
"PladumEVm047427"	-0.110831556764961	6.79594503023234	0.141680170549915	0.706616375902156	0.886825298633251
"PladumEVm129382"	0.113008063779117	2.89464749592361	0.141658525458894	0.706637749046902	0.886825298633251
"PladumEVm085171"	0.108838984619888	2.4703086237986	0.141608736481912	0.706686919558148	0.886844624716175
