"","DMSO_1dpa_rep1","DMSO_1dpa_rep2","DMSO_1dpa_rep3","median_DMSO_1dpa"
"PladumEVm000753",127.438,109.53,115.29,115.29
"PladumEVm000756",17.419,16.704,17.133,17.133
"PladumEVm000762",12.729,6.502,13.968,12.729
"PladumEVm000765",113.092,74.877,95.241,95.241
"PladumEVm000767",19.495,13.368,18.073,18.073
"PladumEVm000773",119.541,104.959,106.484,106.484
"PladumEVm000777",17.358,14.287,17.773,17.358
"PladumEVm000778",16.574,18.281,21.309,18.281
"PladumEVm000780",81.961,71.066,90.64,81.961
"PladumEVm000790",24.176,17.421,23.937,23.937
"PladumEVm000793",26.613,19.554,24.749,24.749
"PladumEVm000795",41.885,30.618,40.464,40.464
"PladumEVm000798",121.32,81.368,121.903,121.32
"PladumEVm000813",23.238,19.828,19.578,19.828
"PladumEVm000815",27.692,20.471,22.862,22.862
"PladumEVm000816",10.756,13.343,11.591,11.591
"PladumEVm000817",15.528,8.773,13.702,13.702
"PladumEVm000821",1667.895,711.102,1378.594,1378.594
"PladumEVm000825",18.885,12.414,15.975,15.975
"PladumEVm000828",18.552,12.371,17.557,17.557
"PladumEVm000830",20.215,15.889,19.175,19.175
"PladumEVm000835",34.38,29.097,37.7,34.38
"PladumEVm000854",16.734,13.704,15.018,15.018
"PladumEVm000855",14.069,10.568,14.289,14.069
"PladumEVm000859",10.772,10.781,13.726,10.781
"PladumEVm000862",12.451,9.223,11.416,11.416
"PladumEVm000863",180.041,172.499,205.554,180.041
"PladumEVm000864",10.148,6.787,10.847,10.148
"PladumEVm000868",20.226,22.117,25.229,22.117
"PladumEVm000872",17.767,11.512,16.438,16.438
"PladumEVm000874",19.297,13.101,24.665,19.297
"PladumEVm000887",12.604,8.115,13.238,12.604
"PladumEVm000892",41.088,33.271,47.676,41.088
"PladumEVm000908",17.852,12.364,19.779,17.852
"PladumEVm000911",28.02,21.011,23.425,23.425
"PladumEVm000915",23.425,17.395,29.376,23.425
"PladumEVm000922",8.588,13.624,20.048,13.624
"PladumEVm000924",20.796,18.787,27.956,20.796
"PladumEVm000926",10.14,7.41,11.11,10.14
"PladumEVm000931",15.195,11.916,13.346,13.346
"PladumEVm000932",13.367,11.75,13.768,13.367
"PladumEVm000942",10.521,12.57,14.685,12.57
"PladumEVm000948",19.356,13.904,10.809,13.904
"PladumEVm000951",51.636,34.632,50.158,50.158
"PladumEVm000955",14.449,13.132,15.715,14.449
"PladumEVm000959",22.936,14.969,22.611,22.611
"PladumEVm000963",11.161,8.551,12.479,11.161
"PladumEVm000972",20.36,18.067,19.983,19.983
"PladumEVm000980",15.521,11.517,20.682,15.521
"PladumEVm000983",13.026,12.31,16.54,13.026
"PladumEVm000987",12.63,11.59,11.277,11.59
"PladumEVm000989",22.766,14.506,24.089,22.766
"PladumEVm000997",17.146,11.501,16.804,16.804
"PladumEVm000999",15.671,14.482,14.664,14.664
"PladumEVm001002",12.197,9.309,12.323,12.197
"PladumEVm001016",20.32,16.26,19.656,19.656
"PladumEVm001031",96.497,73.038,85.376,85.376
"PladumEVm001035",11.918,22.638,20.375,20.375
"PladumEVm001048",69.375,66.439,72.667,69.375
"PladumEVm001049",14.052,10.824,15.131,14.052
"PladumEVm001052",6.88,10.893,11.327,10.893
"PladumEVm001056",15.226,13.304,12.887,13.304
"PladumEVm001061",34.498,28.149,44.525,34.498
"PladumEVm001063",15.273,12.846,16.654,15.273
"PladumEVm001064",10.357,7.694,11.386,10.357
"PladumEVm001072",12.895,12.338,10.35,12.338
"PladumEVm001081",25.661,24.697,29.751,25.661
"PladumEVm001083",32.201,22.112,33.162,32.201
"PladumEVm001086",24.969,25.122,24.183,24.969
"PladumEVm001089",17.827,10.956,17.969,17.827
"PladumEVm001095",11.654,8.662,10.134,10.134
"PladumEVm001101",10.986,7.235,10.845,10.845
"PladumEVm001112",39.476,26.198,39.103,39.103
"PladumEVm001113",88.042,77.747,129.207,88.042
"PladumEVm001116",26.489,22.432,25.86,25.86
"PladumEVm001122",15.146,10.893,16.369,15.146
"PladumEVm001126",28.136,28.948,39.336,28.948
"PladumEVm001129",80.896,61.356,78.648,78.648
"PladumEVm001130",39.798,22.824,39.956,39.798
"PladumEVm001131",15.933,12.469,20.647,15.933
"PladumEVm001132",11.356,8.457,10.059,10.059
"PladumEVm001135",10.551,9.009,10.232,10.232
"PladumEVm001142",28.228,21.201,27.51,27.51
"PladumEVm001148",32.257,28.414,37.793,32.257
"PladumEVm001167",27.181,23.748,26.243,26.243
"PladumEVm001169",42.179,25.596,37.263,37.263
"PladumEVm001188",11.852,8.994,14.949,11.852
"PladumEVm001195",14.254,16.058,19.337,16.058
